# Lange Beschreibungen der GS1 Application Identifier
# Quelle: https://ref.gs1.org/ai/GS1_Application_Identifiers.jsonld (Version 1.2, geaendert 2026-01-26)
# Erzeugt von der Gradle-Task downloadGs1Sources – nicht von Hand bearbeiten.
00	Serial Shipping Container Code (SSCC)
01	Global Trade Item Number (GTIN)
02	Global Trade Item Number (GTIN) of contained trade items
03	Identification of a Made-to-Order (MtO) trade item (GTIN)
10	Batch or lot number
11	Production date (YYMMDD)
12	Due date (YYMMDD)
13	Packaging date (YYMMDD)
15	Best before date (YYMMDD)
16	Sell by date (YYMMDD)
17	Expiration date (YYMMDD)
20	Internal product variant
21	Serial number
22	Consumer product variant
235	Third Party Controlled, Serialised Extension of Global Trade Item Number (GTIN) (TPX)
240	Additional product identification assigned by the manufacturer
241	Customer part number
242	Made-to-Order variation number
243	Packaging component number
250	Secondary serial number
251	Reference to source entity
253	Global Document Type Identifier (GDTI)
254	Global Location Number (GLN) extension component
255	Global Coupon Number (GCN)
30	Variable count of items (variable measure trade item)
3100-3105	Net weight, kilograms (variable measure trade item)
3110-3115	Length or first dimension, metres (variable measure trade item)
3120-3125	Width, diameter, or second dimension, metres (variable measure trade item)
3130-3135	Depth, thickness, height, or third dimension, metres (variable measure trade item)
3140-3145	Area, square metres (variable measure trade item)
3150-3155	Net volume, litres (variable measure trade item)
3160-3165	Net volume, cubic metres (variable measure trade item)
3200-3205	Net weight, pounds (variable measure trade item)
3210-3215	Length or first dimension, inches (variable measure trade item)
3220-3225	Length or first dimension, feet (variable measure trade item)
3230-3235	Length or first dimension, yards (variable measure trade item)
3240-3245	Width, diameter, or second dimension, inches (variable measure trade item)
3250-3255	Width, diameter, or second dimension, feet (variable measure trade item)
3260-3265	Width, diameter, or second dimension, yards (variable measure trade item)
3270-3275	Depth, thickness, height, or third dimension, inches (variable measure trade item)
3280-3285	Depth, thickness, height, or third dimension, feet (variable measure trade item)
3290-3295	Depth, thickness, height, or third dimension, yards (variable measure trade item)
3300-3305	Logistic weight, kilograms
3310-3315	Length or first dimension, metres
3320-3325	Width, diameter, or second dimension, metres
